gene	ratio
YDR395W	1.4997
YMR105C	1.4997
YPL061W	1.5136
YCL017C	1.5276
YDL135C	1.5276
YDR086C	1.5276
YHR064C	1.5276
YGR192C	1.5417
YBR025C	1.5704
YGL253W	1.5704
YPL117C	1.5704
YMR203W	1.5996
YKL180W	1.6144
YDL022W	1.6293
YDR447C	1.6444
YLR293C	1.6444
YDR483W	1.6596
YJL026W	1.7219
YIL051C	1.7378
YPL225W	1.7539
YHR068W	1.7865
YFR053C	1.803
YML056C	1.803
YDR025W	1.888
YFR033C	1.888
YKL150W	1.9231
YLR344W	1.9231
YKL182W	1.977
YGL202W	1.9953
YER165W	2.0324
YLR048W	2.0324
YOR312C	2.0701
YDL181W	2.0893
YHR027C	2.1281
YIL053W	2.1281
YDL124W	2.1677
YLR044C	2.1677
YMR116C	2.208
YFR049W	2.2699
YOR136W	2.3335
YDL204W	2.466
YLR270W	2.466
YMR072W	2.466
YBR011C	2.7542
YGR180C	2.8576
YNL117W	2.8576
YPL028W	3.0479
YHR104W	4.9204
YKL152C	5.0582
YGR218W	6.0813
